job_title,company_name,location,work_type,salary,_scrape_timestamp,min_salary_numeric,max_salary_numeric,avg_salary_numeric
Data Analyst,PT Matahari Department Store Tbk,"Karawaci, Banten",Full Time,Not Disclosed,2025-11-24T11:33:16.277561,,,
Data Analyst Intern,"PT Surya Semesta Internusa, Tbk","Jakarta Selatan, Jakarta Raya",Paruh Waktu,Not Disclosed,2025-11-24T11:33:32.629908,,,
Data Analyst Supervisor,PT Pangan Lestari,"Surabaya, Jawa Timur",Full Time,Not Disclosed,2025-11-24T11:33:48.982129,,,
Data Analyst,PT 8 ELEMENTS,"Jakarta Barat, Jakarta Raya",Full Time,Not Disclosed,2025-11-24T11:34:05.465459,,,
Data Analyst,PT Quadra Inti Solusi,"Bogor, Jawa Barat",Full Time,Not Disclosed,2025-11-24T11:34:22.379464,,,
Data Analyst,PT Sindang Pratama Jaya,"Cirebon, Jawa Barat",Full Time,Rp 10.000.000 per month,2025-11-24T11:34:23.453649,10000000.0,10000000.0,10000000.0
Data Analyst,Pengiklan Anonim,"Kabupaten Bekasi, Jawa Barat",Full Time,Not Disclosed,2025-11-24T11:34:39.846716,,,
Data Analyst,NucleusX B.V,"South Denpasar, Bali",Full Time,Rp 10.000.000 – Rp 14.000.000 per month,2025-11-24T11:34:40.883508,10000000.0,14000000.0,12000000.0
Data Analyst Staff,PT Sukanda Djaya,"Cibitung, Jawa Barat",Full Time,Not Disclosed,2025-11-24T11:34:57.312279,,,
Data Analyst,PT ACCENTUATES,Jakarta Raya,Full Time,Rp 6.000.000 – Rp 7.000.000 per month,2025-11-24T11:34:58.318458,6000000.0,7000000.0,6500000.0
Senior Data Scientist,PT PEFINDO Biro Kredit,"Jakarta Selatan, Jakarta Raya
(Hibrid)",Full Time,Not Disclosed,2025-11-24T11:35:14.229278,,,
Data Analis,PT Suriatama,Jakarta Raya,Kasual,Not Disclosed,2025-11-24T11:35:30.631052,,,
