job_title,company_name,location,work_type,salary,job_description,_scrape_timestamp
Data Analyst,PT Matahari Department Store Tbk,"Karawaci, Banten",Full time,None,"Responsibilities:
Collect, manage, and analyze large datasets related to store performance and operational efficiency.
Support ongoing business and improvement projects by providing data insights, reports, and dashboards.
Collaborate with cross-functional teams (Operations, Merchandising, and Finance) to ensure accuracy and consistency of business data.
Assist in identifying trends, issues, and opportunities based on data analysis to support decision-making.
Develop and improve data tracking systems or templates to increase reporting efficiency.
Requirements
:
Bachelor’s degree in Business, Statistics, Industrial Engineering, or a related field.
1–2 years of experience in data analysis, business operations, or project support.
Strong analytical and numerical skills with attention to detail.
Proficient in Microsoft Excel and familiar with data visualization tools.
Comfortable handling large datasets and transforming them into actionable insights.",2025-11-24T11:33:16.277561
Data Analyst Intern,"PT Surya Semesta Internusa, Tbk","Jakarta Selatan, Jakarta Raya",Paruh waktu,None,"Job Description
Support in conducting thorough analysis of datasets and data cleansing to ensure accuracy and quality.
Help identify and rectify errors and inconsistencies in data.
Assist in developing and presenting insights based on data visualizations.
Collaborate with the team to create effective and informative mock-up visuals.
Work alongside the IT Engineering team to process and analyze data using appropriate tools and technologies.
Assist in developing systems and processes that support data collection and analysis.
Requirements
Bachelor’s degree in System Information / Data Science / Statistics or a related field
Experience in data analysis and visualization tools such as Tableau, Power BI, or similar.
Proficient in using tools for data processing, such as Excel
Proficiency in SQL and programming languages like Python or R.
Strong communication skills to convey analysis results to non-technical teams
Available for a WFO internship lasting for 4 - 6 months or above",2025-11-24T11:33:32.629908
Data Analyst Supervisor,PT Pangan Lestari,"Surabaya, Jawa Timur",Full time,None,"Tugas dan Tanggung Jawab:
Membuat dan mengembangkan dashboard sesuai kebutuhan analisis perusahaan.
Melakukan pengolahan dan analisis data untuk mendukung laporan kinerja penjualan dan operasional.
Menyajikan hasil analisis dalam bentuk laporan visual dan insight bisnis bagi manajemen.
Berkoordinasi dengan tim terkait untuk memastikan konsistensi, validitas, dan keakuratan data.
Mendukung proses pengambilan keputusan strategis melalui penyediaan data yang akurat dan relevan
Kualifikasi:
Pendidikan minimal S1 dari jurusan Statistika, Matematika, Akuntansi, atau Teknik.
Memiliki pengalaman kerja minimal 1 tahun di bidang data analysis, reporting, atau business analytics.
Menguasai Microsoft Excel, Word, dan PowerPoint (advanced level).
Terampil menggunakan Power BI untuk pembuatan dashboard dan visualisasi data.
Mampu mengolah dan menganalisis data dalam jumlah besar dengan ketelitian tinggi.
Memiliki kemampuan berpikir analitis dan numerik yang kuat.
Mampu bekerja sama dan berkoordinasi dengan baik lintas divisi.
Komunikatif, detail-oriented, dan mampu bekerja di bawah tenggat waktu.",2025-11-24T11:33:48.982129
Data Analyst,PT 8 ELEMENTS,"Jakarta Barat, Jakarta Raya",Full time,None,"Job Description
Data Analysis and Interpretation: Utilize tools like Google Data Studio, BigQuery, and Power BI to analyze Marketing data and extract meaningful insights.
Developing Reporting Dashboards: Create dynamic dashboards and reports that provide real-time insights into Sales, Marketing, Product performance.
Collaborating with Sales and Marketing Teams: Work closely with other teams to understand their data needs and provide insights that inform strategy and decision-making.
Data Integration and Management: Integrate data from various sources to provide a comprehensive view of Products, Services, Campaigns, Company performance.
Performance Tracking: Monitor key performance indicators (KPIs) to measure the effectiveness of campaigns, activities and strategies.
Monitoring and Alerts: Set up a data-driven system to alert positive and negative deviations for key parameters
Predictive Analysis: Use data to predict trends and market movements, aiding in proactive strategy development.
Training and Support: Provide training and support to team members in using data analysis tools and understanding reports.
Be an independently working professional with a creative mind and drive for results and success
Minimum Qualifications
Bachelor’s or Master’s degree in Computer Science, Information Technology, Data Science, Software Engineering, or a related field.
Strong foundation in mathematics, statistics, and data structures.
Data analysis expert with experience in data programming languages and visualization software (Excel/Gsheet, SQL, Tableau, Metabase, Python, etc.)
Advanced excel modeling and data visualization skills
Very strong analytical and problem-solving mindset
Data Warehouses: Snowflake, BigQuery, Amazon Redshift",2025-11-24T11:34:05.465459
Data Analyst,PT Quadra Inti Solusi,"Bogor, Jawa Barat",Full time,None,"Kualifikasi:
Pendidikan minimal S1 Statistik, Matematika, Teknologi Informasi, atau jurusan terkait.
Menguasai pengolahan data menggunakan Excel, SQL, atau software analisis (SPSS, Python/R lebih disukai).
Mampu menganalisis data dan menyajikan laporan secara sistematis.
Teliti, logis, dan berpikir kritis.
Tugas:
Mengumpulkan, mengolah, dan menganalisis data perusahaan.
Memberikan insight untuk mendukung strategi bisnis.
Membuat laporan berkala kepada manajemen.",2025-11-24T11:34:22.379464
Data Analyst,PT Sindang Pratama Jaya,"Cirebon, Jawa Barat",Full time,Rp 10.000.000 per month,"Lowongan: Data Analyst
Kami mencari seorang
Data Analyst
yang bersemangat untuk mengubah data menjadi
insight
bisnis yang berdampak. Anda akan bekerja sama dengan berbagai departemen untuk mendukung pengambilan keputusan strategis melalui analisis, visualisasi, dan otomatisasi data.
Tanggung Jawab Utama:
Menganalisis data operasional bisnis untuk menemukan
insight
dan mendukung keputusan strategis.
Membuat dan menyajikan laporan serta
dashboard
visual secara rutin untuk berbagai tim.
Mengembangkan dan memelihara alur kerja pemrosesan data yang efisien, termasuk melakukan otomatisasi.
Melayani permintaan analisis data dari berbagai departemen.
Kualifikasi yang Dibutuhkan:
Lulusan S1 dari jurusan terkait (Statistika, Ilmu Komputer, Sistem Informasi, Teknik Industri, Manajemen, dll.).
Terbuka untuk
fresh graduate
atau memiliki pengalaman hingga 1 tahun di bidang analisis data.
Wajib menguasai:
Microsoft Excel (tingkat lanjut) dan Google BigQuery.
Sangat diutamakan:
Pengalaman dengan Excel Macros/VBA, Macro Recorder, dan Python untuk otomatisasi laporan dan proses data.
Mampu mengubah data mentah menjadi cerita bisnis yang mudah dipahami.
Nilai tambah jika familiar dengan
BI tools
(Tableau/Power BI).
Memiliki kemampuan komunikasi yang baik.",2025-11-24T11:34:23.453649
Data Analyst,Pengiklan Anonim,"Kabupaten Bekasi, Jawa Barat",Full time,None,"RESPONSIBILITY
:
Collecting, cleaning, and managing business data using spreadsheets.
Analyzing trends and performance metrics with Excel or Google Sheets (VLOOKUP, Pivot Tables, formulas, etc.).
Creating data visualizations, reports, and dashboards through spreadsheets to support management decisions.
Collaborating with internal teams to understand data needs and provide accurate analysis.
Maintaining consistency and accuracy of data in every report.
Providing insights and recommendations based on data analysis results.
Excellent in Microsoft Excel. Experience with Excel Macros/VBA is a strong value added
Complete other work assigned by superiors.
REQUIREMENT
:
Candidate must possess at least Bachelor's Degree
from reputable university
Able to
communicate in English in Business Level
Proven experience as an Administrative Assistant or in a similar administrative role
Excellent communication and interpersonal skills, with the ability to interact effectively with colleagues at all levels
Strong organisational and multitasking abilities, with a keen eye for detail
Proficiency in Microsoft Office suite (Word, Excel, PowerPoint, Outlook), Google Workspace
Ability to work independently and as part of a team
Flexible and adaptable, with a positive attitude and a willingness to learn
Willing to be placed in Bekasi Regency",2025-11-24T11:34:39.846716
Data Analyst,NucleusX B.V,"South Denpasar, Bali",Full time,Rp 10.000.000 – Rp 14.000.000 per month,"Data Analyst (1–3 Years Experience)
📍
Location:
Denpasar, Bali, Indonesia (On-site)
💼
Employment Type:
Full-time
💰
Salary:
IDR 10M - 14M (depending on experience)
About the Role
We are looking for a
Data Analyst
who will play a key role in transforming data into actionable insights that drive business decisions. You’ll be responsible for building and maintaining BI dashboards, validating and cleaning data, and providing clear, data-backed analyses for various stakeholders across the company.
Responsibilities
Create
automated reports
and
BI dashboards
for recurring data and performance tracking needs.
Handle
data validation, cleaning, and interpretation
— ensuring accuracy and reliability across multiple sources.
Collaborate with
data engineers
on data collection and structure improvements.
Analyze complex datasets to provide
meaningful insights
and answer business questions from stakeholders.
Requirements
Must-Have Skills:
Strong proficiency in
SQL
Experience with
Python
for data manipulation and analysis
Hands-on experience using
Power BI
Additionally:
Fluent in
English
(verbal and written)
Nice-to-Have Skills:
Familiarity with
AWS
or other cloud computing services
Experience with
other dashboarding tools
(Tableau, Qlik, etc.)
Basic understanding of
data science concepts
(machine learning, AI, etc.)
Why You’ll Love Working Here
Be part of a
data-driven company
that values curiosity, precision, and impact.
Collaborate with talented data engineers and analysts to solve real business challenges.
Based in beautiful
Bali
, working directly on-site with a passionate and talented team.
If relocating from other parts of Indonesia, we offer
one-time reimbursement
for
flights and relocation expenses
.",2025-11-24T11:34:40.883508
Data Analyst Staff,PT Sukanda Djaya,"Cibitung, Jawa Barat",Full time,None,"Responsibilities:
Process and analyze data to deliver accurate and timely routine and ad hoc reports
Enhance data processing and analysis workflow based on best practices
Actively support and execute various initiatives to meet business and management needs
Facilitate user requests for reporting or analytical enhancements
Requirements:
Bachelor's degree in Management, Business, Accounting Information Systems, Industrial Engineering, or other relevant fields
Fresh graduate or up to 1 year of experience in data analysis background
Excellent in Microsoft Excel. Experience with Excel Macros/VBA is a strong value added
Proficient communication skills in English, both written and verbal
Demonstrated ability to manage multiple tasks, prioritize effectively, and work collaboratively with cross-functional teams
Willing to be placed in Cibitung, Bekasi",2025-11-24T11:34:57.312279
Data Analyst,PT ACCENTUATES,Jakarta Raya,Full time,Rp 6.000.000 – Rp 7.000.000 per month,"KUALIFIKASI       :
-          Pendidikan minimal S1 jurusan Matematika, Statistika, Ilmu Komputer, Teknik Industri atau jurusan yang relevan
-          Memiliki pengalaman di bidang analisa data atau posisi yang sama menjadi nilai plus
-          Paham terkait metode statistika dan teknik visualisasi data
-          Memiliki pengalaman mengoperasikan software analisa data seperti SQL, Microsoft Excel, Tableau, R, Phyton
-          Memiliki kemampuan komunikasi yang baik untuk mempresentasikan temuan data dengan jelas dan efektif kepada
non-technical stakeholders.
-          Memiliki kemampuan
problem solving
yang baik untuk mengidentifikasi masalah yang berkaitan dengan data
-          Detail dan teliti untuk memastikan keakuratan pada data yang dianalisa
-          Bersedia untuk penempatan di Jakarta Pusat",2025-11-24T11:34:58.318458
Senior Data Scientist,PT PEFINDO Biro Kredit,"Jakarta Selatan, Jakarta Raya
(Hibrid)",Full time,None,"Lead the
data science and analytics strategy
, ensuring alignment with business goals and innovation roadmap.
Direct research, experimentation, and
data-driven product development initiatives
.
Develop and execute
data strategy plans
, including identifying and managing valuable internal and external data sources.
Translate complex data into
business insights and strategic recommendations
for management.
Supervise and mentor the data science team to ensure quality and innovation across projects.
Collaborate with Product, Business, and IT teams to accelerate
digital and data transformation
.
Build partnerships with external institutions to strengthen data capabilities.
Present findings and data-driven recommendations to executive management and stakeholders.",2025-11-24T11:35:14.229278
Data Analis,PT Suriatama,Jakarta Raya,Kasual,None,"Deskripsi Pekerjaan
1. Mampu menganalisis data
2. Membuat Anggaran Pembelian Tahunan
3. Memiliki kemampuan dalam membaca arah bisnis
4. Dapat berkomunikasi dengan baik
5. Mampu untuk menafsirkan/menganalisa data
6. Mampu bekerja sama dalam tim
7. Diutamakan mempunyai pengalaman mengelola data di bagian Purchasing
Kualifikasi
1. Pengalaman minimal 2 tahun di bidang analisis data
2. Pendidikan minimal S-1 Sederajat
3. Memahami penggunaan EXCEL/PIVOT
4. Memahami konsep statistik dan matematika
5. Mampu untuk memvisualisasikan data",2025-11-24T11:35:30.631052
